url	video_id
https://www.youtube.com/watch?v=JZPQipBZZXY	JZPQipBZZXY
https://www.youtube.com/watch?v=LhVadL6NWHI	LhVadL6NWHI
https://www.youtube.com/watch?v=2AQ7Hm4EdAY	2AQ7Hm4EdAY
https://www.youtube.com/watch?v=2RoXfmTCh9k	2RoXfmTCh9k
https://www.youtube.com/watch?v=balyPMwuqcM	balyPMwuqcM
https://www.youtube.com/watch?v=hlp_cBf6FC8	hlp_cBf6FC8
https://www.youtube.com/watch?v=NrElVhvDvTg	NrElVhvDvTg
https://www.youtube.com/watch?v=y-M-_kOiJeA	y-M-_kOiJeA
https://www.youtube.com/watch?v=HTCJLAsDEPA	HTCJLAsDEPA
https://www.youtube.com/watch?v=8pgA-KhygTM	8pgA-KhygTM
