url	video_id
https://www.youtube.com/watch?v=ehw20KfmhXc	ehw20KfmhXc
https://www.youtube.com/watch?v=mZsABUwAfr8	mZsABUwAfr8
https://www.youtube.com/watch?v=WQ3jyfl9zIE	WQ3jyfl9zIE
https://www.youtube.com/watch?v=WR9tKkCqeTU	WR9tKkCqeTU
https://www.youtube.com/watch?v=pnARmhJxXsk	pnARmhJxXsk
https://www.youtube.com/watch?v=8g6cqSxyfBw	8g6cqSxyfBw
https://www.youtube.com/watch?v=JHLbH5NkGPU	JHLbH5NkGPU
https://www.youtube.com/watch?v=Eaw_lnwEWIo	Eaw_lnwEWIo
https://www.youtube.com/watch?v=Unar32xaEvM	Unar32xaEvM
https://www.youtube.com/watch?v=qH3CE5G9WHc	qH3CE5G9WHc
