video_url	video_id
https://www.youtube.com/watch?v=LhVadL6NWHI	LhVadL6NWHI
https://www.youtube.com/watch?v=2AQ7Hm4EdAY	2AQ7Hm4EdAY
https://www.youtube.com/watch?v=2RoXfmTCh9k	2RoXfmTCh9k
https://www.youtube.com/watch?v=balyPMwuqcM	balyPMwuqcM
https://www.youtube.com/watch?v=hlp_cBf6FC8	hlp_cBf6FC8
https://www.youtube.com/watch?v=NrElVhvDvTg	NrElVhvDvTg
https://www.youtube.com/watch?v=HTCJLAsDEPA	HTCJLAsDEPA
https://www.youtube.com/watch?v=8pgA-KhygTM	8pgA-KhygTM
https://www.youtube.com/watch?v=-12D7kPrf_k	-12D7kPrf_k
https://www.youtube.com/watch?v=Cfl-rRIKPv4	Cfl-rRIKPv4
https://www.youtube.com/watch?v=UjnbrhBSWew	UjnbrhBSWew
https://www.youtube.com/watch?v=5FuyDY8LNGw	5FuyDY8LNGw
https://www.youtube.com/watch?v=2wFRrYqcRHw	2wFRrYqcRHw
https://www.youtube.com/watch?v=ESO5B7sCpM0	ESO5B7sCpM0
https://www.youtube.com/watch?v=LZ48fZQL9k4	LZ48fZQL9k4
https://www.youtube.com/watch?v=MwdUAqVbC2E	MwdUAqVbC2E
https://www.youtube.com/watch?v=g6BMAWfTQu8	g6BMAWfTQu8
https://www.youtube.com/watch?v=e9KWZse56Qk	e9KWZse56Qk
https://www.youtube.com/watch?v=_WqKR8Kx_zA	_WqKR8Kx_zA
https://www.youtube.com/watch?v=WMFJGYtrz_U	WMFJGYtrz_U
https://www.youtube.com/watch?v=Og5v3_zWMSA	Og5v3_zWMSA
https://www.youtube.com/watch?v=YAAAPBgCY3M	YAAAPBgCY3M
https://www.youtube.com/watch?v=F2bTIgXvusM	F2bTIgXvusM
https://www.youtube.com/watch?v=sN7MtFJCR0c	sN7MtFJCR0c
https://www.youtube.com/watch?v=p5Eq2OhizvI	p5Eq2OhizvI
https://www.youtube.com/watch?v=5N-A2p1ZclA	5N-A2p1ZclA
https://www.youtube.com/watch?v=GVPgMOz5gbA	GVPgMOz5gbA
https://www.youtube.com/watch?v=M3PzKMYeeC0	M3PzKMYeeC0
https://www.youtube.com/watch?v=t2PkeH6Gr2c	t2PkeH6Gr2c
https://www.youtube.com/watch?v=SWMRYpsZg4c	SWMRYpsZg4c
https://www.youtube.com/watch?v=2xegq73jTcU	2xegq73jTcU
https://www.youtube.com/watch?v=wRWmB0zgVUc	wRWmB0zgVUc
https://www.youtube.com/watch?v=LkpBYne7SlU	LkpBYne7SlU
https://www.youtube.com/watch?v=4fPB2PFp5Do	4fPB2PFp5Do
https://www.youtube.com/watch?v=IA43PP6T0nU	IA43PP6T0nU
https://www.youtube.com/watch?v=6oTK1IFHBCE	6oTK1IFHBCE
https://www.youtube.com/watch?v=01IOlcGzHTE	01IOlcGzHTE
https://www.youtube.com/watch?v=ynlN7STWOJw	ynlN7STWOJw
https://www.youtube.com/watch?v=BixGz9jh9pU	BixGz9jh9pU
https://www.youtube.com/watch?v=Wi1EERelEBc	Wi1EERelEBc
https://www.youtube.com/watch?v=SB6ajw2e9yA	SB6ajw2e9yA
https://www.youtube.com/watch?v=pSs3SaVU7ZE	pSs3SaVU7ZE
https://www.youtube.com/watch?v=VfS8FTMKoC4	VfS8FTMKoC4
https://www.youtube.com/watch?v=xx22eYsOj8I	xx22eYsOj8I
https://www.youtube.com/watch?v=y4vpE5L5sAY	y4vpE5L5sAY
https://www.youtube.com/watch?v=butoihYcRU4	butoihYcRU4
https://www.youtube.com/watch?v=1g2O-1o33es	1g2O-1o33es
https://www.youtube.com/watch?v=QBlvURIxBEE	QBlvURIxBEE
https://www.youtube.com/watch?v=JqEY1WJp0h8	JqEY1WJp0h8
https://www.youtube.com/watch?v=ZMWDc-z7fcI	ZMWDc-z7fcI
https://www.youtube.com/watch?v=3NSdNObcj_o	3NSdNObcj_o
https://www.youtube.com/watch?v=PQRAY5Dt-3A	PQRAY5Dt-3A
https://www.youtube.com/watch?v=wVVZ_eDIQ6M	wVVZ_eDIQ6M
https://www.youtube.com/watch?v=LXH_QlUkjRI	LXH_QlUkjRI
https://www.youtube.com/watch?v=_VH2zEoSjl4	_VH2zEoSjl4
https://www.youtube.com/watch?v=2AU7b8vGAOk	2AU7b8vGAOk
https://www.youtube.com/watch?v=lrXz1g_SamE	lrXz1g_SamE
https://www.youtube.com/watch?v=285ZwnY28us	285ZwnY28us
https://www.youtube.com/watch?v=VTNHGeyR0ow	VTNHGeyR0ow
https://www.youtube.com/watch?v=0-oXgy5I5hc	0-oXgy5I5hc
https://www.youtube.com/watch?v=enop4PZrgBc	enop4PZrgBc
https://www.youtube.com/watch?v=ovcwjUWj17g	ovcwjUWj17g
https://www.youtube.com/watch?v=YtH82QiTYWU	YtH82QiTYWU
https://www.youtube.com/watch?v=MPDV_hGhXRY	MPDV_hGhXRY
https://www.youtube.com/watch?v=thwDVOGUa24	thwDVOGUa24
https://www.youtube.com/watch?v=uCnnYDRIl1A	uCnnYDRIl1A
https://www.youtube.com/watch?v=m4FHktBBnbw	m4FHktBBnbw
https://www.youtube.com/watch?v=Dv8I3j2dhGc	Dv8I3j2dhGc
https://www.youtube.com/watch?v=_12DdLoTwbA	_12DdLoTwbA
https://www.youtube.com/watch?v=nTkucLHzPoQ	nTkucLHzPoQ
https://www.youtube.com/watch?v=s0qmM7tzCWI	s0qmM7tzCWI
https://www.youtube.com/watch?v=5xKH30xxgyc	5xKH30xxgyc
https://www.youtube.com/watch?v=krTHJL8vZgc	krTHJL8vZgc
https://www.youtube.com/watch?v=FrSFtIJCooE	FrSFtIJCooE
https://www.youtube.com/watch?v=zN3uvGXSzM0	zN3uvGXSzM0
https://www.youtube.com/watch?v=-qOSqqgCP7I	-qOSqqgCP7I
https://www.youtube.com/watch?v=uyQsP3LnPBM	uyQsP3LnPBM
https://www.youtube.com/watch?v=BNfBtisonUg	BNfBtisonUg
https://www.youtube.com/watch?v=uCWM5pY-29Q	uCWM5pY-29Q
https://www.youtube.com/watch?v=hYBDlHe_ziM	hYBDlHe_ziM
https://www.youtube.com/watch?v=hflyylYjvsY	hflyylYjvsY
