video_url	video_id
https://www.youtube.com/watch?v=-2e9rY8HIDQ	-2e9rY8HIDQ
https://www.youtube.com/watch?v=qxbKKeElUFU	qxbKKeElUFU
https://www.youtube.com/watch?v=WVDBbMgzimU	WVDBbMgzimU
https://www.youtube.com/watch?v=K7sFGCIBKoI	K7sFGCIBKoI
https://www.youtube.com/watch?v=Cfptt9u8U7s	Cfptt9u8U7s
https://www.youtube.com/watch?v=LmeosJx1UlE	LmeosJx1UlE
https://www.youtube.com/watch?v=n__89jk7vIQ	n__89jk7vIQ
https://www.youtube.com/watch?v=oGj_ef6v52w	oGj_ef6v52w
https://www.youtube.com/watch?v=YnigO5CFZno	YnigO5CFZno
https://www.youtube.com/watch?v=VZ86VEnx83w	VZ86VEnx83w
